Reference, Quantity, Value, Footprint, Datasheet, LCSC Part #
C101 C102 C107 C108 C109 ,5,"0.1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
C103 C104 ,2,"10uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
C105 C106 ,2,"22uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
C110 ,1,"4u7","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","","C19666"
C111 C113 ,2,"30p","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","","C1570"
C112 C114 C116 C117 C118 ,5,"100n","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","","C1525"
C115 ,1,"1u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","","C52923"
D101 ,1,"SB140","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.diodes.com/_files/datasheets/ds23022.pdf"
D102 D103 D104 ,3,"LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
J101 ,1,"Conn_01x02_Female","Connector_AMASS:AMASS_XT60PW-F_1x02_P7.20mm_Horizontal",""
J102 ,1,"Conn_01x08_Female","Connector_PinHeader_1.27mm:PinHeader_1x08_P1.27mm_Horizontal",""
J104 ,1,"Conn_01x06_Female","Connector:Tag-Connect_TC2030-IDC-FP_2x03_P1.27mm_Vertical",""
JP101 ,1,"SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm",""
L101 ,1,"27n","Inductor_SMD:L_0402_1005Metric","","C18830"
R101 ,1,"120","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
R102 ,1,"200mR","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
R103 R104 R105 ,3,"1k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
R106 ,1,"10k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
R107 ,1,"2k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
R108 ,1,"10k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","C25744"
U101 ,1,"AZ1084-3.3","Package_TO_SOT_SMD:TO-252-2","https://www.diodes.com/assets/Datasheets/AZ1084.pdf"
U102 ,1,"MCP2562-H-SN","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/25167A.pdf"
U103 ,1,"AZ1117-5.0","Package_TO_SOT_SMD:TO-252-3_TabPin2","https://www.diodes.com/assets/Datasheets/AZ1117.pdf"
U104 ,1,"INA180","Package_TO_SOT_SMD:SOT-23-5_HandSoldering","http://www.ti.com/lit/ds/symlink/ina180.pdf"
U105 ,1,"STM32F103C8T6","Package_QFP:LQFP-48_7x7mm_P0.5mm","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00161566.pdf","C8734"
Y101 ,1,"8MHz","Crystal:Crystal_SMD_5032-2Pin_5.0x3.2mm","","C115962"